,url,prices,addresses
0,https://www.zillow.com/b/parkmerced-san-francisco-ca-5XjKHx/,"$2,599+","3711 19th Ave, San Francisco, CA"
1,https://www.zillow.com/b/923-folsom-san-francisco-ca-5Yy6Np/,"$2,960/mo","923 Folsom, 923 Folsom St #505, San Francisco, CA 94107"
2,https://www.zillow.com/b/1188-mission-at-trinity-place-san-francisco-ca-5XjN4q/,"$2,649+","1188 Mission St, San Francisco, CA"
3,https://www.zillow.com/b/hanover-soma-west-san-francisco-ca-9NJsx9/,"$2,931+","1140 Harrison St, San Francisco, CA"
4,https://www.zillow.com/b/l-seven-san-francisco-ca-9NJtD7/,"$2,915/mo","L Seven, 1222 Harrison St #7106, San Francisco, CA 94103"
5,https://www.zillow.com/b/33-8th-at-trinity-place-san-francisco-ca-9NJw4S/,"$2,549+","33 8th St, San Francisco, CA"
6,https://www.zillow.com/b/prism-san-francisco-ca-9NJpRh/,"$2,968/mo","Prism, 1028 Market St PENTHOUSE 2, San Francisco, CA 94102"
7,https://www.zillow.com/b/1190-mission-at-trinity-place-san-francisco-ca-5XjVtb/,"$2,499/mo","1190 Mission at Trinity Place, 1190 Mission St APT 1824, San Francisco, CA 94103"
8,https://www.zillow.com/b/1177-market-at-trinity-place-san-francisco-ca-BNjvdD/,"$2,549+","1177 Market St, San Francisco, CA"
9,https://www.zillow.com/b/vara-san-francisco-ca-5XrPmJ/,"$2,999/mo","Vara, 1600 15th St APT 207, San Francisco, CA 94103"
10,https://www.zillow.com/b/645-stockton-san-francisco-ca-5Xj3SD/,"$2,995+","645 Stockton St, San Francisco, CA"
11,https://www.zillow.com/b/avalon-sunset-towers-san-francisco-ca-5XjLKv/,"$2,860+/mo","Avalon Sunset Towers, 8 Locksley Ave, San Francisco, CA 94131"
12,https://www.zillow.com/b/the-madelon-san-francisco-ca-Bg7B9Q/,"$2,996/mo","The Madelon, 2823 18th St #623, San Francisco, CA 94110"
13,https://www.zillow.com/b/ava-nob-hill-san-francisco-ca-5XkHq6/,"$2,495+","965 Sutter St, San Francisco, CA"
14,https://www.zillow.com/b/50-jones-san-francisco-ca-Bntcg2/,"$2,567+","50 Jones St, San Francisco, CA"
15,https://www.zillow.com/b/480-potrero-ave-san-francisco-ca-5mY4JQ/,"$2,750/mo","480 Potrero Ave, 480 Potrero Ave #108, San Francisco, CA 94110"
16,https://www.zillow.com/b/trinity-towers-apartments-san-francisco-ca-5XjPdR/,"$2,399+","888 Ofarrell St, San Francisco, CA"
17,https://www.zillow.com/b/northpoint-apartments-san-francisco-ca-5XjLPJ/,"$2,810+/mo","NorthPoint Apartments, 2211 Stockton St, San Francisco, CA 94133"
18,https://www.zillow.com/b/the-rise-hayes-valley-san-francisco-ca-9NJtwq/,"$2,855/mo","The Rise Hayes Valley, 1699 Market St #3, San Francisco, CA 94103"
19,https://www.zillow.com/b/1333-gough-apartments-at-cathedral-hall-san-francisco-ca-5XjRmn/,"$2,925+","1333 Gough St, San Francisco, CA"
20,https://www.zillow.com/b/2133-stockton-street-apartments-san-francisco-ca-5Xhzkj/,"$2,549+","2133 Stockton St, San Francisco, CA"
21,https://www.zillow.com/b/edgewater-san-francisco-ca-5XjVQc/,"$2,898/mo","Edgewater, 355 Berry St APT 304, San Francisco, CA 94158"
22,https://www.zillow.com/b/olume-san-francisco-ca-5Yy6VF/,"$2,559+","1401 Mission St, San Francisco, CA"
23,https://www.zillow.com/b/crystal-tower-apartments-san-francisco-ca-5XjVtt/,"$2,949/mo","Crystal Tower Apartments, 2140 Taylor St APT 101, San Francisco, CA 94133"
24,https://www.zillow.com/b/the-terraces-san-francisco-ca-5XjVSb/,"$2,552+","1330 Bush St, San Francisco, CA"
25,https://www.zillow.com/b/845-sutter-san-francisco-ca-5XkKMm/,"$2,450/mo","845 Sutter, 845 Sutter St APT 409, San Francisco, CA 94109"
26,https://www.zillow.com/b/840-van-ness-san-francisco-ca-5YCwMj/,"$2,395+","840 Van Ness Ave, San Francisco, CA"
27,https://www.zillow.com/b/575-o%27farrell-st-san-francisco-ca-5j4D5y/,"$2,245+/mo","575 O'Farrell St, 575 Ofarrell St, San Francisco, CA 94102"
28,https://www.zillow.com/b/1000-1010-bush-street-san-francisco-ca-BQjMjR/,"$2,095/mo","1000-1010 Bush Street, 1000-1010 Bush St #4, San Francisco, CA 94109"
29,https://www.zillow.com/b/the-presidio-landmark-san-francisco-ca-5XkJwH/,"$2,970/mo","The Presidio Landmark, 1801 Wedemeyer St UNIT 217, San Francisco, CA 94129"
30,https://www.zillow.com/b/modera-rincon-hill-san-francisco-ca-9NJzvD/,"$2,972/mo","Modera Rincon Hill, 390 1st St #304, San Francisco, CA 94105"
31,https://www.zillow.com/b/waterbend-san-francisco-ca-9NLgqG/,"$2,832+","5880 3rd St, San Francisco, CA"
32,https://www.zillow.com/b/990-geary-san-francisco-ca-5XjSTc/,"$2,695+","990 Geary St, San Francisco, CA"
33,https://www.zillow.com/b/947-bush-san-francisco-ca-5XjW9S/,"$2,595+","947 Bush St, San Francisco, CA"
34,https://www.zillow.com/b/333-fremont-san-francisco-ca-5gjwKL/,"$2,949/mo","333 Fremont, 333 Fremont St APT 607, San Francisco, CA 94105"
35,https://www.zillow.com/b/950-franklin-san-francisco-ca-5Xj398/,"$2,695/mo","950 Franklin, 950 Franklin St APT 25, San Francisco, CA 94109"
36,https://www.zillow.com/b/delphine-on-diamond-san-francisco-ca-5XjTZJ/,"$2,850+","5285 Diamond Heights Blvd, San Francisco, CA"
37,https://www.zillow.com/b/loft-168-san-francisco-ca-9NK42M/,"$2,800+/mo","Loft 168, 168 Bluxome St, San Francisco, CA 94107"
38,https://www.zillow.com/b/geary-courtyard-san-francisco-ca-5XjRSd/,"$2,494/mo","Geary Courtyard, 639 Geary St #1-214, San Francisco, CA 94102"
39,https://www.zillow.com/b/northpoint-vistas-san-francisco-ca-5XqJsJ/,"$3,000+/mo","NorthPoint Vistas, 2351 Powell St, San Francisco, CA 94133"
